GPU,count
GeForce GTX 1650,25
GeForce GTX 1060,25
GeForce GTX 1660 Ti,25
GeForce GTX 1660 SUPER,25
GeForce RTX 2060,25
GeForce RTX 3070,25
GeForce RTX 3060 Ti,25
GeForce RTX 3050,25
GeForce RTX 3080 Ti,25
GeForce RTX 3080,25
GeForce RTX 3090,25
GeForce RTX 3070 Ti,25
Radeon RX 6700 XT,25
Radeon RX 6400,25
Radeon RX 580,25
GeForce RTX 4090,25
Radeon RX 6800 XT,25
Radeon RX 6800,25
Radeon RX 6750 XT,25
Radeon RX 6500 XT,25
Radeon RX 6650 XT,25
Radeon RX 6600 XT,25
Radeon RX 6600,25
Radeon RX 6900 XT,25
GeForce RTX 3060,13
GeForce GTX 1050 Ti,13
GeForce GTX 1050,13
GeForce RTX 2080 Ti,13
GeForce RTX 4070 Ti,13
Radeon R7 360,13
GeForce RTX 4070,13
GeForce RTX 4060,13
GeForce RTX 4060 Ti,13
Radeon RX 7600,13
Radeon RX 7700 XT,13
Radeon RX 550,13
Radeon R9 370,13
Radeon RX 560,13
Radeon R9 380,13
Radeon RX 460,13
Radeon RX 7900 XTX,13
Radeon RX 7900 XT,13
Radeon RX 7800 XT,13
GeForce RTX 4080 SUPER,1
GeForce RTX 4070 Ti SUPER,1
GeForce RTX 4070 SUPER,1
Radeon RX 7600 XT,1
Radeon RX 7900 GRE,1
