Date,Name,Retail Price
1/1/2024,GeForce GTX 1050,0
1/2/2024,GeForce GTX 1050,0
1/3/2023,GeForce GTX 1050,192
1/3/2024,GeForce GTX 1050,254
1/4/2023,GeForce GTX 1050,181
1/4/2024,GeForce GTX 1050,254
1/5/2023,GeForce GTX 1050,162
1/5/2024,GeForce GTX 1050,254
1/6/2023,GeForce GTX 1050,176
1/6/2024,GeForce GTX 1050,254
1/7/2023,GeForce GTX 1050,190
1/7/2024,GeForce GTX 1050,254
1/8/2023,GeForce GTX 1050,179
1/8/2024,GeForce GTX 1050,254
1/9/2023,GeForce GTX 1050,174
1/9/2024,GeForce GTX 1050,254
1/10/2023,GeForce GTX 1050,254
1/10/2024,GeForce GTX 1050,254
1/11/2023,GeForce GTX 1050,0
1/11/2024,GeForce GTX 1050,254
1/12/2023,GeForce GTX 1050,0
1/12/2024,GeForce GTX 1050,254
1/1/2024,GeForce GTX 1050 Ti,0
1/2/2024,GeForce GTX 1050 Ti,0
1/3/2023,GeForce GTX 1050 Ti,198
1/3/2024,GeForce GTX 1050 Ti,190
1/4/2023,GeForce GTX 1050 Ti,195
1/4/2024,GeForce GTX 1050 Ti,190
1/5/2023,GeForce GTX 1050 Ti,201
1/5/2024,GeForce GTX 1050 Ti,190
1/6/2023,GeForce GTX 1050 Ti,199
1/6/2024,GeForce GTX 1050 Ti,190
1/7/2023,GeForce GTX 1050 Ti,195
1/7/2024,GeForce GTX 1050 Ti,190
1/8/2023,GeForce GTX 1050 Ti,172
1/8/2024,GeForce GTX 1050 Ti,190
1/9/2023,GeForce GTX 1050 Ti,186
1/9/2024,GeForce GTX 1050 Ti,190
1/10/2023,GeForce GTX 1050 Ti,183
1/10/2024,GeForce GTX 1050 Ti,190
1/11/2023,GeForce GTX 1050 Ti,0
1/11/2024,GeForce GTX 1050 Ti,190
1/12/2023,GeForce GTX 1050 Ti,0
1/12/2024,GeForce GTX 1050 Ti,190
1/1/2023,GeForce GTX 1060,277
1/1/2024,GeForce GTX 1060,0
1/2/2023,GeForce GTX 1060,254
1/2/2024,GeForce GTX 1060,0
1/3/2023,GeForce GTX 1060,239
1/3/2024,GeForce GTX 1060,0
1/4/2023,GeForce GTX 1060,384
1/4/2024,GeForce GTX 1060,0
1/5/2023,GeForce GTX 1060,282
1/5/2024,GeForce GTX 1060,0
1/6/2023,GeForce GTX 1060,195
1/6/2024,GeForce GTX 1060,0
1/7/2023,GeForce GTX 1060,323
1/7/2024,GeForce GTX 1060,0
1/8/2023,GeForce GTX 1060,359
1/8/2024,GeForce GTX 1060,339
1/9/2023,GeForce GTX 1060,284
1/9/2024,GeForce GTX 1060,339
1/10/2023,GeForce GTX 1060,184
1/10/2024,GeForce GTX 1060,0
1/11/2022,GeForce GTX 1060,259
1/11/2023,GeForce GTX 1060,0
1/11/2024,GeForce GTX 1060,339
1/12/2022,GeForce GTX 1060,259
1/12/2023,GeForce GTX 1060,0
1/12/2024,GeForce GTX 1060,339
1/1/2023,GeForce GTX 1650,134
1/1/2024,GeForce GTX 1650,164
1/2/2023,GeForce GTX 1650,144
1/2/2024,GeForce GTX 1650,159
1/3/2023,GeForce GTX 1650,144
1/3/2024,GeForce GTX 1650,155
1/4/2023,GeForce GTX 1650,140
1/4/2024,GeForce GTX 1650,149
1/5/2023,GeForce GTX 1650,146
1/5/2024,GeForce GTX 1650,149
1/6/2023,GeForce GTX 1650,140
1/6/2024,GeForce GTX 1650,146
1/7/2023,GeForce GTX 1650,141
1/7/2024,GeForce GTX 1650,147
1/8/2023,GeForce GTX 1650,148
1/8/2024,GeForce GTX 1650,149
1/9/2023,GeForce GTX 1650,162
1/9/2024,GeForce GTX 1650,146
1/10/2023,GeForce GTX 1650,137
1/10/2024,GeForce GTX 1650,135
1/11/2022,GeForce GTX 1650,139
1/11/2023,GeForce GTX 1650,143
1/11/2024,GeForce GTX 1650,149
1/12/2022,GeForce GTX 1650,132
1/12/2023,GeForce GTX 1650,165
1/12/2024,GeForce GTX 1650,170
1/1/2023,GeForce GTX 1660 SUPER,273
1/1/2024,GeForce GTX 1660 SUPER,222
1/2/2023,GeForce GTX 1660 SUPER,263
1/2/2024,GeForce GTX 1660 SUPER,229
1/3/2023,GeForce GTX 1660 SUPER,256
1/3/2024,GeForce GTX 1660 SUPER,225
1/4/2023,GeForce GTX 1660 SUPER,215
1/4/2024,GeForce GTX 1660 SUPER,220
1/5/2023,GeForce GTX 1660 SUPER,176
1/5/2024,GeForce GTX 1660 SUPER,208
1/6/2023,GeForce GTX 1660 SUPER,164
1/6/2024,GeForce GTX 1660 SUPER,224
1/7/2023,GeForce GTX 1660 SUPER,167
1/7/2024,GeForce GTX 1660 SUPER,234
1/8/2023,GeForce GTX 1660 SUPER,165
1/8/2024,GeForce GTX 1660 SUPER,252
1/9/2023,GeForce GTX 1660 SUPER,168
1/9/2024,GeForce GTX 1660 SUPER,264
1/10/2023,GeForce GTX 1660 SUPER,196
1/10/2024,GeForce GTX 1660 SUPER,255
1/11/2022,GeForce GTX 1660 SUPER,195
1/11/2023,GeForce GTX 1660 SUPER,194
1/11/2024,GeForce GTX 1660 SUPER,270
1/12/2022,GeForce GTX 1660 SUPER,290
1/12/2023,GeForce GTX 1660 SUPER,221
